cells_per_well,rel_abund,viability,num_wells,number_of_experiments,positive_well_med,positive_well_95pc_low,positive_well_95pc_high,taxon_positive_med,taxon_positive_95pc_low,taxon_positive_95pc_high,pure_well_med,pure_well_95pc_low,pure_well_95pc_high
1.0,0.0,0.0,460.0,9.0,293.0,274.8,302.8,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.05,460.0,9.0,293.0,274.8,302.8,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.1,460.0,9.0,293.0,274.8,302.8,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.15000000000000002,460.0,9.0,293.0,274.8,302.8,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.2,460.0,9.0,293.0,274.8,302.8,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.25,460.0,9.0,293.0,274.8,302.8,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.30000000000000004,460.0,9.0,293.0,274.8,302.8,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.35000000000000003,460.0,9.0,293.0,274.8,302.8,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.4,460.0,9.0,293.0,274.8,302.8,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.45,460.0,9.0,293.0,274.8,302.8,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.5,460.0,9.0,293.0,274.8,302.8,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.55,460.0,9.0,293.0,274.8,302.8,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.6000000000000001,460.0,9.0,293.0,274.8,302.8,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.65,460.0,9.0,293.0,274.8,302.8,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.7000000000000001,460.0,9.0,293.0,274.8,302.8,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.75,460.0,9.0,296.0,287.20000000000005,311.2,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.8,460.0,9.0,295.0,270.8,311.4,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.8500000000000001,460.0,9.0,296.0,287.20000000000005,311.2,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.9,460.0,9.0,293.0,274.8,302.8,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.9500000000000001,460.0,9.0,296.0,287.20000000000005,311.2,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,1.0,460.0,9.0,296.0,287.20000000000005,311.2,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.01,0.0,460.0,9.0,296.0,286.20000000000005,309.6,4.0,2.2,5.8,0.0,0.0,0.0
1.0,0.01,0.05,460.0,9.0,296.0,286.20000000000005,309.6,4.0,2.2,5.8,0.0,0.0,0.0
1.0,0.01,0.1,460.0,9.0,296.0,286.20000000000005,310.4,4.0,2.2,5.8,0.0,0.0,0.7999999999999998
1.0,0.01,0.15000000000000002,460.0,9.0,296.0,286.20000000000005,310.4,4.0,2.2,5.8,0.0,0.0,0.7999999999999998
1.0,0.01,0.2,460.0,9.0,296.0,286.20000000000005,310.4,4.0,2.2,5.8,0.0,0.0,0.7999999999999998
1.0,0.01,0.25,460.0,9.0,297.0,286.20000000000005,310.4,4.0,2.2,5.8,0.0,0.0,1.0
1.0,0.01,0.30000000000000004,460.0,9.0,297.0,286.40000000000003,310.4,4.0,2.2,5.8,0.0,0.0,1.0
1.0,0.01,0.35000000000000003,460.0,9.0,284.0,273.8,306.79999999999995,4.0,1.2000000000000002,7.8,1.0,0.0,2.8
1.0,0.01,0.4,460.0,9.0,295.0,271.20000000000005,309.2,6.0,2.4000000000000004,8.8,1.0,0.0,2.0
1.0,0.01,0.45,460.0,9.0,297.0,286.40000000000003,310.4,4.0,2.2,5.8,0.0,0.0,1.0
1.0,0.01,0.5,460.0,9.0,297.0,286.40000000000003,310.4,4.0,2.2,5.8,1.0,0.0,1.0
1.0,0.01,0.55,460.0,9.0,296.0,287.20000000000005,310.4,4.0,2.2,5.8,1.0,0.0,1.0
1.0,0.01,0.6000000000000001,460.0,9.0,296.0,270.2,309.6,6.0,2.4000000000000004,8.8,1.0,0.0,3.0
1.0,0.01,0.65,460.0,9.0,296.0,270.2,309.6,6.0,2.4000000000000004,8.8,1.0,0.0,3.0
1.0,0.01,0.7000000000000001,460.0,9.0,295.0,271.40000000000003,311.0,5.0,2.0,10.0,1.0,1.0,3.5999999999999996
1.0,0.01,0.75,460.0,9.0,295.0,271.40000000000003,311.0,5.0,2.0,10.0,1.0,1.0,3.5999999999999996
1.0,0.01,0.8,460.0,9.0,295.0,271.40000000000003,311.0,5.0,2.0,10.0,1.0,1.0,3.5999999999999996
1.0,0.01,0.8500000000000001,460.0,9.0,295.0,272.2,311.0,5.0,2.0,10.0,2.0,1.0,4.3999999999999995
1.0,0.01,0.9,460.0,9.0,297.0,287.40000000000003,310.4,4.0,2.2,5.8,1.0,0.0,1.7999999999999998
1.0,0.01,0.9500000000000001,460.0,9.0,295.0,272.2,311.0,5.0,2.0,10.0,2.0,1.0,4.6
1.0,0.01,1.0,460.0,9.0,285.0,278.0,305.4,5.0,1.4000000000000001,9.0,2.0,0.0,3.0
1.0,0.02,0.0,460.0,9.0,282.0,272.0,298.8,9.0,5.4,10.799999999999999,0.0,0.0,0.0
1.0,0.02,0.05,460.0,9.0,292.0,269.0,306.6,13.0,5.6,15.8,0.0,0.0,0.7999999999999998
1.0,0.02,0.1,460.0,9.0,293.0,269.0,307.4,13.0,5.6,15.8,1.0,0.0,1.0
1.0,0.02,0.15000000000000002,460.0,9.0,296.0,284.20000000000005,305.0,9.0,3.4000000000000004,12.600000000000001,0.0,0.0,1.0
1.0,0.02,0.2,460.0,9.0,293.0,270.6,307.4,13.0,5.6,15.8,1.0,0.2,2.8
1.0,0.02,0.25,460.0,9.0,294.0,270.6,307.4,13.0,5.6,15.8,1.0,0.2,2.8
1.0,0.02,0.30000000000000004,460.0,9.0,287.0,273.8,302.79999999999995,9.0,6.200000000000001,14.0,1.0,0.2,2.8
1.0,0.02,0.35000000000000003,460.0,9.0,294.0,270.6,307.4,13.0,5.6,15.8,2.0,0.2,3.5999999999999996
1.0,0.02,0.4,460.0,9.0,285.0,273.40000000000003,302.6,9.0,6.200000000000001,11.8,2.0,0.0,4.0
1.0,0.02,0.45,460.0,9.0,285.0,273.40000000000003,302.6,9.0,6.200000000000001,11.8,2.0,0.2,4.0
1.0,0.02,0.5,460.0,9.0,285.0,273.40000000000003,303.4,9.0,6.200000000000001,11.8,2.0,0.2,4.0
1.0,0.02,0.55,460.0,9.0,284.0,273.6,298.8,10.0,4.2,14.2,2.0,0.0,3.8
1.0,0.02,0.6000000000000001,460.0,9.0,287.0,272.2,303.8,9.0,6.200000000000001,11.8,2.0,0.2,3.8
1.0,0.02,0.65,460.0,9.0,285.0,267.40000000000003,304.0,8.0,5.2,13.399999999999999,2.0,0.2,3.8
1.0,0.02,0.7000000000000001,460.0,9.0,288.0,277.0,304.2,9.0,6.200000000000001,14.0,2.0,1.0,5.0
1.0,0.02,0.75,460.0,9.0,294.0,270.4,310.0,13.0,5.6,15.8,2.0,1.0,5.6
1.0,0.02,0.8,460.0,9.0,287.0,273.6,304.0,8.0,3.6000000000000005,11.6,3.0,0.2,4.8
1.0,0.02,0.8500000000000001,460.0,9.0,287.0,273.8,304.0,9.0,6.200000000000001,11.8,3.0,1.2000000000000002,5.0
1.0,0.02,0.9,460.0,9.0,287.0,274.8,305.0,8.0,3.6000000000000005,11.6,4.0,0.4,5.0
1.0,0.02,0.9500000000000001,460.0,9.0,288.0,273.2,299.2,10.0,6.4,13.8,2.0,0.2,5.3999999999999995
1.0,0.02,1.0,460.0,9.0,296.0,275.4,313.2,10.0,4.800000000000001,12.8,3.0,1.4000000000000001,5.8
1.0,0.03,0.0,460.0,9.0,281.0,265.6,302.79999999999995,14.0,7.200000000000001,20.0,0.0,0.0,0.0
1.0,0.03,0.05,460.0,9.0,281.0,269.0,299.8,13.0,8.8,17.6,0.0,0.0,1.0
1.0,0.03,0.1,460.0,9.0,283.0,271.20000000000005,294.6,13.0,8.4,17.0,0.0,0.0,2.0
1.0,0.03,0.15000000000000002,460.0,9.0,283.0,271.20000000000005,294.6,13.0,8.4,17.0,0.0,0.0,2.0
1.0,0.03,0.2,460.0,9.0,283.0,272.8,307.59999999999997,16.0,11.200000000000001,21.199999999999996,1.0,0.0,2.0
1.0,0.03,0.25,460.0,9.0,284.0,270.20000000000005,299.8,13.0,8.8,17.6,1.0,0.0,3.5999999999999996
1.0,0.03,0.30000000000000004,460.0,9.0,283.0,271.20000000000005,296.4,13.0,8.4,17.0,2.0,0.0,3.5999999999999996
1.0,0.03,0.35000000000000003,460.0,9.0,283.0,271.40000000000003,296.4,13.0,8.4,17.0,2.0,0.2,3.5999999999999996
1.0,0.03,0.4,460.0,9.0,284.0,271.8,300.8,13.0,8.8,17.6,2.0,1.0,3.8
1.0,0.03,0.45,460.0,9.0,284.0,271.40000000000003,296.4,13.0,8.4,17.0,2.0,1.0,3.5999999999999996
1.0,0.03,0.5,460.0,9.0,284.0,271.40000000000003,296.4,13.0,8.4,17.0,2.0,1.0,3.5999999999999996
1.0,0.03,0.55,460.0,9.0,285.0,271.8,302.8,13.0,8.8,17.6,3.0,0.4,5.6
1.0,0.03,0.6000000000000001,460.0,9.0,287.0,273.4,296.6,13.0,8.4,17.0,3.0,0.2,4.0
1.0,0.03,0.65,460.0,9.0,285.0,274.4,303.59999999999997,13.0,9.4,19.2,3.0,1.2000000000000002,5.0
1.0,0.03,0.7000000000000001,460.0,9.0,287.0,273.6,296.6,13.0,8.4,17.0,3.0,0.2,4.0
1.0,0.03,0.75,460.0,9.0,284.0,269.6,303.0,14.0,7.4,26.0,3.0,1.2000000000000002,9.6
1.0,0.03,0.8,460.0,9.0,286.0,278.4,312.0,14.0,9.0,17.4,5.0,2.2,7.0
1.0,0.03,0.8500000000000001,460.0,9.0,283.0,269.6,304.2,14.0,8.0,20.799999999999997,5.0,0.0,10.399999999999999
1.0,0.03,0.9,460.0,9.0,290.0,278.8,303.4,13.0,6.800000000000001,18.0,4.0,1.0,6.0
1.0,0.03,0.9500000000000001,460.0,9.0,284.0,270.4,306.0,14.0,8.0,20.799999999999997,6.0,1.2000000000000002,11.2
1.0,0.03,1.0,460.0,9.0,288.0,272.20000000000005,299.0,13.0,9.2,16.8,6.0,2.4000000000000004,7.8
1.0,0.04,0.0,460.0,9.0,272.0,263.40000000000003,301.2,17.0,14.200000000000001,23.0,0.0,0.0,0.0
1.0,0.04,0.05,460.0,9.0,273.0,263.40000000000003,301.4,17.0,14.200000000000001,23.0,0.0,0.0,1.7999999999999998
1.0,0.04,0.1,460.0,9.0,284.0,268.2,296.2,18.0,14.200000000000001,25.0,1.0,0.0,2.0
