number_of_inoculated_wells,inoculum,p_i,taxon_pure_low
92,1.0,0.097,1.0
92,1.27,0.101,1.0
92,1.96,0.124,1.0
92,2.0,0.121,1.0
92,3.0,0.187,1.0
92,4.0,0.274,1.0
92,5.0,0.378,1.0
184,1.0,0.051000000000000004,1.0
184,1.27,0.053,1.0
184,1.96,0.065,1.0
184,2.0,0.063,1.0
184,3.0,0.106,1.0
184,4.0,0.17400000000000002,1.0
184,5.0,0.264,1.0
276,1.0,0.033,1.0
276,1.27,0.037,1.0
276,1.96,0.045,1.0
276,2.0,0.049,1.0
276,3.0,0.078,1.0
276,4.0,0.13,1.0
276,5.0,0.214,1.0
368,1.0,0.027,1.0
368,1.27,0.029,1.0
368,1.96,0.034,1.0
368,2.0,0.035,1.0
368,3.0,0.06,1.0
368,4.0,0.109,1.0
368,5.0,0.17500000000000002,1.0
460,1.0,0.022,1.0
460,1.27,0.021,1.0
460,1.96,0.027,1.0
460,2.0,0.029,1.0
460,3.0,0.051000000000000004,1.0
460,4.0,0.092,1.0
460,5.0,0.14300000000000002,1.0
552,1.0,0.018000000000000002,1.0
552,1.27,0.018000000000000002,1.0
552,1.96,0.025,1.0
552,2.0,0.024,1.0
552,3.0,0.04,1.0
552,4.0,0.077,1.0
552,5.0,0.133,1.0
644,1.0,0.015,1.0
644,1.27,0.016,1.0
644,1.96,0.02,1.0
644,2.0,0.022,1.0
644,3.0,0.035,1.0
644,4.0,0.067,1.0
644,5.0,0.112,1.0
736,1.0,0.014,1.0
736,1.27,0.014,1.0
736,1.96,0.018000000000000002,1.0
736,2.0,0.02,1.0
736,3.0,0.031,1.0
736,4.0,0.057,1.0
736,5.0,0.113,1.0
828,1.0,0.012,1.0
828,1.27,0.013000000000000001,1.0
828,1.96,0.017,1.0
828,2.0,0.017,1.0
828,3.0,0.029,1.0
828,4.0,0.054,1.0
828,5.0,0.1,1.0
920,1.0,0.011,1.0
920,1.27,0.011,1.0
920,1.96,0.014,1.0
920,2.0,0.016,1.0
920,3.0,0.025,1.0
920,4.0,0.049,1.0
920,5.0,0.091,1.0
1012,1.0,0.01,1.0
1012,1.27,0.01,1.0
1012,1.96,0.015,1.0
1012,2.0,0.013000000000000001,1.0
1012,3.0,0.023,1.0
1012,4.0,0.043000000000000003,1.0
1012,5.0,0.084,1.0
1104,1.0,0.009000000000000001,1.0
1104,1.27,0.01,1.0
1104,1.96,0.013000000000000001,1.0
1104,2.0,0.012,1.0
1104,3.0,0.022,1.0
1104,4.0,0.041,1.0
1104,5.0,0.077,1.0
1196,1.0,0.009000000000000001,1.0
1196,1.27,0.009000000000000001,1.0
1196,1.96,0.012,1.0
1196,2.0,0.012,1.0
1196,3.0,0.02,1.0
1196,4.0,0.04,1.0
1196,5.0,0.073,1.0
1288,1.0,0.009000000000000001,1.0
1288,1.27,0.008,1.0
1288,1.96,0.011,1.0
1288,2.0,0.011,1.0
1288,3.0,0.019,1.0
1288,4.0,0.035,1.0
1288,5.0,0.07100000000000001,1.0
1380,1.0,0.008,1.0
1380,1.27,0.008,1.0
1380,1.96,0.011,1.0
1380,2.0,0.011,1.0
1380,3.0,0.018000000000000002,1.0
1380,4.0,0.034,1.0
1380,5.0,0.068,1.0
1472,1.0,0.007,1.0
1472,1.27,0.008,1.0
1472,1.96,0.008,1.0
1472,2.0,0.01,1.0
1472,3.0,0.017,1.0
1472,4.0,0.031,1.0
1472,5.0,0.062,1.0
1564,1.0,0.006,1.0
1564,1.27,0.007,1.0
1564,1.96,0.01,1.0
1564,2.0,0.01,1.0
1564,3.0,0.015,1.0
1564,4.0,0.032,1.0
1564,5.0,0.059000000000000004,1.0
1656,1.0,0.006,1.0
1656,1.27,0.007,1.0
1656,1.96,0.009000000000000001,1.0
1656,2.0,0.009000000000000001,1.0
1656,3.0,0.015,1.0
1656,4.0,0.028,1.0
1656,5.0,0.055,1.0
1748,1.0,0.007,1.0
1748,1.27,0.006,1.0
1748,1.96,0.008,1.0
1748,2.0,0.008,1.0
1748,3.0,0.015,1.0
1748,4.0,0.027,1.0
1748,5.0,0.054,1.0
1840,1.0,0.006,1.0
1840,1.27,0.006,1.0
1840,1.96,0.008,1.0
1840,2.0,0.008,1.0
1840,3.0,0.014,1.0
1840,4.0,0.025,1.0
1840,5.0,0.05,1.0
1932,1.0,0.006,1.0
1932,1.27,0.005,1.0
1932,1.96,0.007,1.0
1932,2.0,0.007,1.0
1932,3.0,0.013000000000000001,1.0
1932,4.0,0.025,1.0
1932,5.0,0.051000000000000004,1.0
2024,1.0,0.005,1.0
