cells_per_well,relative_abundance,taxon_pure_med,taxon_pure_low,taxon_pure_high
1,0.0,0.0,0.0,0.0
1,0.01,37.0,26.0,49.0
1,0.02,74.0,58.0,91.0
1,0.03,112.0,92.0,133.0
1,0.04,150.0,127.0,174.0
1,0.05,188.0,163.0,216.0
1,0.06,228.0,199.0,257.0
1,0.07,267.0,235.0,299.0
1,0.08,306.0,273.0,341.0
1,0.09,346.0,311.0,382.0
1,0.1,387.0,350.0,424.0
1,0.11,428.0,389.0,468.0
1,0.12,469.0,429.0,511.0
1,0.13,510.0,468.0,554.0
1,0.14,553.0,508.0,599.0
1,0.15,596.0,549.0,642.0
1,0.16,638.0,591.0,688.0
1,0.17,682.0,633.0,732.0
1,0.18,725.0,675.0,776.0
1,0.19,770.0,718.0,822.0
1,0.2,814.0,762.0,870.0
1,0.21,860.0,806.0,915.0
1,0.22,905.0,849.95,962.0
1,0.23,951.0,895.0,1008.0499999999993
1,0.24,997.0,940.95,1057.0
1,0.25,1044.0,985.0,1106.0
1,0.26,1093.0,1032.0,1154.0
1,0.27,1140.0,1077.0,1203.0
1,0.28,1189.0,1127.0,1251.0499999999993
1,0.29,1237.0,1174.0,1302.0
1,0.3,1287.0,1222.0,1353.0
1,0.31,1337.0,1271.0,1403.0
1,0.32,1388.0,1320.0,1457.0
1,0.33,1437.0,1369.0,1507.0
1,0.34,1489.0,1420.0,1558.0
1,0.35000000000000003,1541.0,1470.0,1614.0
1,0.36,1594.0,1522.0,1666.0
1,0.37,1647.0,1576.0,1719.0
1,0.38,1700.0,1627.0,1775.0
1,0.39,1755.0,1680.0,1830.0499999999993
1,0.4,1809.0,1735.0,1886.0
1,0.41000000000000003,1864.0,1788.0,1942.0
1,0.42,1920.0,1844.0,2000.0
1,0.43,1977.0,1899.0,2054.0
1,0.44,2033.0,1954.0,2113.0
1,0.45,2090.0,2011.0,2170.0
1,0.46,2148.0,2069.0,2229.0
1,0.47000000000000003,2206.0,2126.0,2287.0
1,0.48,2267.0,2183.0,2350.0
1,0.49,2327.0,2241.0,2410.0
1,0.5,2386.0,2302.0,2469.0
1,0.51,2447.0,2363.0,2531.0
1,0.52,2508.0,2423.0,2593.0
1,0.53,2571.0,2485.0,2654.0
1,0.54,2634.0,2549.0,2721.0
1,0.55,2699.0,2613.0,2786.0
1,0.56,2761.0,2672.0,2850.0
1,0.5700000000000001,2825.0,2738.0,2913.0
1,0.58,2892.0,2801.0,2980.0
1,0.59,2958.0,2868.0,3048.0
1,0.6,3024.0,2931.0,3114.0
1,0.61,3092.0,3001.0,3182.0
1,0.62,3160.0,3070.0,3251.0
